Timestamp,Building_ID,Building_Type,Floor_Count,Occupancy,Occupancy_Per_Floor,Energy_Consumption_kWh,Water_Consumption_L,Temperature_C,Humidity_Percent,CO2_Level_ppm,Sustainability_Score,BSEI
01-08-2026,Academic,Academic,8,640,80.0,1436.68,10519.89,25.83,59.79,549.02,79.97,26.65
02-08-2026,Academic,Academic,8,870,108.75,2001.97,13551.54,25.69,59.95,551.36,79.81,20.02
03-08-2026,Academic,Academic,8,1375,171.88,3337.49,24517.21,25.51,63.65,606.93,75.51,10.42
04-08-2026,Academic,Academic,8,1194,149.25,2593.94,19780.01,25.15,61.34,585.27,77.73,15.33
05-08-2026,Academic,Academic,8,1585,198.12,3442.25,24616.55,25.71,55.42,603.96,80.51,8.84
06-08-2026,Academic,Academic,8,1367,170.88,3010.74,23476.66,25.46,60.44,628.05,77.55,11.99
07-08-2026,Academic,Academic,8,1471,183.88,3265.46,22649.13,25.55,61.59,623.17,77.17,10.6
08-08-2026,Academic,Academic,8,801,100.12,1744.73,12737.73,25.89,60.18,572.45,80.82,22.71
09-08-2026,Academic,Academic,8,903,112.88,2034.7,15887.2,25.95,61.65,535.09,77.49,19.73
10-08-2026,Academic,Academic,8,1191,148.88,2456.94,16857.43,24.36,58.63,591.24,83.29,16.59
11-08-2026,Academic,Academic,8,1092,136.5,2441.18,17220.39,24.4,60.88,588.77,82.01,17.2
12-08-2026,Academic,Academic,8,1561,195.12,3369.51,26309.95,25.45,59.03,625.89,77.75,9.76
13-08-2026,Academic,Academic,8,1194,149.25,2861.44,19719.55,24.57,59.58,575.84,79.61,13.46
14-08-2026,Academic,Academic,8,1075,134.38,2561.72,14106.29,26.13,55.48,594.23,80.42,13.81
15-08-2026,Academic,Academic,8,844,105.5,1953.46,12977.78,25.92,62.08,614.18,78.45,20.76
16-08-2026,Academic,Academic,8,907,113.38,2010.59,14334.42,25.88,61.99,576.27,78.3,20.16
17-08-2026,Academic,Academic,8,1326,165.75,2958.26,18822.28,25.58,57.6,593.49,80.87,11.85
18-08-2026,Academic,Academic,8,1280,160.0,2879.19,18825.71,25.26,61.09,602.09,78.99,13.12
19-08-2026,Academic,Academic,8,1129,141.12,2727.28,17527.8,26.27,62.43,584.91,78.07,13.63
20-08-2026,Academic,Academic,8,1171,146.38,2856.21,17981.83,26.07,60.28,538.87,78.7,12.61
21-08-2026,Academic,Academic,8,1317,164.62,2925.45,20991.29,26.13,61.33,592.14,79.6,12.23
22-08-2026,Academic,Academic,8,795,99.38,1702.58,12315.19,25.47,63.7,553.28,81.99,24.62
23-08-2026,Academic,Academic,8,816,102.0,1750.93,11450.82,25.63,55.96,577.3,83.68,21.72
24-08-2026,Academic,Academic,8,1486,185.75,3427.59,23887.42,24.53,57.01,610.42,81.21,9.65
25-08-2026,Academic,Academic,8,1597,199.62,3477.46,24905.5,25.25,59.02,636.67,78.11,9.34
26-08-2026,Academic,Academic,8,1432,179.0,3431.34,20355.94,26.76,61.12,627.88,75.59,9.08
27-08-2026,Academic,Academic,8,1334,166.75,3159.55,19839.11,24.25,62.37,675.49,79.46,12.14
28-08-2026,Academic,Academic,8,1620,202.5,3448.32,25464.0,26.32,66.73,636.68,78.69,9.57
29-08-2026,Academic,Academic,8,625,78.12,1449.79,10794.54,26.0,55.15,520.36,79.05,24.66
30-08-2026,Academic,Academic,8,881,110.12,1809.8,13457.45,24.32,58.52,583.66,84.17,23.26
31-08-2026,Academic,Academic,8,1180,147.5,2644.16,20116.27,24.63,60.72,589.31,80.16,15.23
01-09-2026,Academic,Academic,8,1595,199.38,3361.0,22647.02,25.32,60.03,629.3,81.89,10.03
02-09-2026,Academic,Academic,8,1664,208.0,3656.28,25239.49,24.44,59.71,623.62,78.81,8.95
03-09-2026,Academic,Academic,8,1102,137.75,2440.29,17834.1,25.29,60.11,580.49,78.46,16.26
04-09-2026,Academic,Academic,8,1498,187.25,3623.32,21368.15,25.76,63.67,655.53,75.56,8.89
05-09-2026,Academic,Academic,8,831,103.88,1771.41,13243.51,26.96,58.75,551.43,79.4,20.8
06-09-2026,Academic,Academic,8,716,89.5,1587.2,10143.67,24.96,58.54,544.94,82.15,25.38
07-09-2026,Academic,Academic,8,1589,198.62,3422.91,23669.78,25.18,56.78,670.15,80.77,9.35
08-09-2026,Academic,Academic,8,1109,138.62,2401.99,16836.54,26.3,58.24,559.84,79.17,15.4
09-09-2026,Academic,Academic,8,1627,203.38,3608.23,27504.66,24.51,57.09,608.76,82.27,8.78
10-09-2026,Academic,Academic,8,1762,220.25,4155.35,25223.14,23.55,57.52,616.56,80.97,6.98
11-09-2026,Academic,Academic,8,1331,166.38,3237.97,17252.34,26.19,58.89,625.57,78.13,10.12
12-09-2026,Academic,Academic,8,849,106.12,1982.35,14210.93,25.45,60.43,607.93,75.96,20.59
13-09-2026,Academic,Academic,8,751,93.88,1637.0,11278.62,25.54,58.35,537.42,82.67,23.94
14-09-2026,Academic,Academic,8,1341,167.62,2917.9,21051.19,24.26,60.6,623.53,78.72,13.44
15-09-2026,Academic,Academic,8,1585,198.12,3376.62,26826.12,25.04,54.87,595.84,81.94,9.34
16-09-2026,Academic,Academic,8,1271,158.88,2804.36,20959.93,24.28,59.77,624.64,80.57,14.08
17-09-2026,Academic,Academic,8,1312,164.0,3145.45,19187.93,24.53,63.35,612.44,78.78,12.18
18-09-2026,Academic,Academic,8,1470,183.75,3210.13,20269.11,25.58,56.2,629.61,79.86,10.19
19-09-2026,Academic,Academic,8,809,101.12,1723.52,11104.56,24.91,58.57,540.41,83.55,23.7
20-09-2026,Academic,Academic,8,716,89.5,1470.81,10763.02,24.71,59.76,586.16,83.77,27.73
21-09-2026,Academic,Academic,8,1334,166.75,2748.19,21198.95,25.13,56.31,603.02,80.3,13.23
22-09-2026,Academic,Academic,8,1692,211.5,3447.78,24672.52,24.13,57.24,669.93,81.76,9.76
23-09-2026,Academic,Academic,8,1299,162.38,2947.63,21314.9,24.64,60.51,587.54,80.03,12.96
24-09-2026,Academic,Academic,8,1177,147.12,2499.1,19680.91,25.38,57.53,615.54,82.15,15.16
25-09-2026,Academic,Academic,8,1759,219.88,3932.54,31517.0,25.79,55.11,588.29,78.48,6.76
26-09-2026,Academic,Academic,8,703,87.88,1525.11,10337.41,24.67,54.98,582.09,83.4,25.16
27-09-2026,Academic,Academic,8,830,103.75,1814.11,14179.84,24.87,55.44,594.11,81.56,21.56
28-09-2026,Academic,Academic,8,1456,182.0,3301.82,22362.96,26.37,60.07,591.91,78.16,9.79
29-09-2026,Academic,Academic,8,1200,150.0,2769.86,18942.88,25.61,58.98,606.27,78.04,13.29
30-09-2026,Academic,Academic,8,1710,213.75,3673.59,25843.18,24.56,59.93,654.51,80.68,8.84
