Timestamp,Building_ID,Building_Type,Floor_Count,Occupancy,Occupancy_Per_Floor,Energy_Consumption_kWh,Water_Consumption_L,Temperature_C,Humidity_Percent,CO2_Level_ppm,Sustainability_Score,BSEI
01-08-2026,Academic,Academic,8,640,80.0,1436.68,10519.89,25.83,59.79,549.02,79.97,26.65
01-08-2026,Hostel,Hostel,8,1959,244.88,3655.74,205355.33,25.14,65.27,591.94,77.08,7.78
01-08-2026,Main,Main,8,666,83.25,1744.85,10493.68,25.33,60.51,548.95,77.36,23.53
01-08-2026,Placement,Placement,8,323,40.38,664.35,4418.33,23.15,57.83,477.82,82.11,44.29
02-08-2026,Academic,Academic,8,870,108.75,2001.97,13551.54,25.69,59.95,551.36,79.81,20.02
02-08-2026,Hostel,Hostel,8,1638,204.75,2716.59,184340.7,26.35,67.05,570.58,74.29,12.13
02-08-2026,Main,Main,8,518,64.75,1385.49,7605.2,25.19,60.07,515.57,76.01,28.47
02-08-2026,Placement,Placement,8,243,30.38,475.99,3206.88,23.33,57.47,423.84,86.14,48.2
03-08-2026,Academic,Academic,8,1375,171.88,3337.49,24517.21,25.51,63.65,606.93,75.51,10.42
03-08-2026,Hostel,Hostel,8,2164,270.5,3907.36,247317.3,25.64,67.21,617.33,73.73,6.46
03-08-2026,Main,Main,8,1016,127.0,2542.62,16711.98,25.52,57.32,577.9,78.17,14.71
03-08-2026,Placement,Placement,8,454,56.75,855.6,7149.46,25.03,57.9,486.62,85.73,36.7
04-08-2026,Academic,Academic,8,1194,149.25,2593.94,19780.01,25.15,61.34,585.27,77.73,15.33
04-08-2026,Hostel,Hostel,8,1981,247.62,3268.56,199450.57,24.49,71.06,610.88,75.76,10.15
04-08-2026,Main,Main,8,1027,128.38,2522.3,16590.45,25.25,63.77,585.99,78.19,16.25
04-08-2026,Placement,Placement,8,826,103.25,1517.66,11381.31,24.6,58.78,535.12,87.65,26.84
