Timestamp,Building_ID,Building_Type,Floor_Count,Occupancy,Occupancy_Per_Floor,Energy_Consumption_kWh,Water_Consumption_L,Temperature_C,Humidity_Percent,CO2_Level_ppm,Sustainability_Score,BSEI
01-08-2026,Hostel,Hostel,8,1959,244.88,3655.74,205355.33,25.14,65.27,591.94,77.08,7.78
02-08-2026,Hostel,Hostel,8,1638,204.75,2716.59,184340.7,26.35,67.05,570.58,74.29,12.13
03-08-2026,Hostel,Hostel,8,2164,270.5,3907.36,247317.3,25.64,67.21,617.33,73.73,6.46
04-08-2026,Hostel,Hostel,8,1981,247.62,3268.56,199450.57,24.49,71.06,610.88,75.76,10.15
05-08-2026,Hostel,Hostel,8,1840,230.0,3067.44,214358.3,24.39,65.03,572.95,78.39,10.9
06-08-2026,Hostel,Hostel,8,1864,233.0,3321.63,207228.71,26.33,66.56,571.75,73.37,8.68
07-08-2026,Hostel,Hostel,8,1861,232.62,3398.48,205850.88,25.88,68.82,592.66,72.8,8.65
08-08-2026,Hostel,Hostel,8,1740,217.5,2734.32,176513.02,25.36,65.14,515.92,75.74,12.68
09-08-2026,Hostel,Hostel,8,1776,222.0,3189.17,166540.28,24.54,60.4,592.44,75.38,10.08
10-08-2026,Hostel,Hostel,8,1801,225.12,3041.64,210024.62,25.57,61.41,555.8,75.45,10.03
11-08-2026,Hostel,Hostel,8,2052,256.5,3391.83,212440.23,25.34,63.96,587.71,76.53,8.67
12-08-2026,Hostel,Hostel,8,2205,275.62,3919.49,245759.36,26.72,64.95,595.13,72.9,5.96
13-08-2026,Hostel,Hostel,8,1902,237.75,3203.98,199700.66,25.27,71.49,563.56,75.96,10.01
14-08-2026,Hostel,Hostel,8,1953,244.12,3531.37,216094.33,25.6,61.63,573.32,73.46,7.75
15-08-2026,Hostel,Hostel,8,1647,205.88,2781.06,174084.18,26.02,66.9,549.33,75.58,12.06
16-08-2026,Hostel,Hostel,8,1635,204.38,2665.56,176542.09,24.79,67.59,551.25,76.25,13.79
17-08-2026,Hostel,Hostel,8,1928,241.0,3387.13,199169.36,25.61,66.59,544.35,75.06,8.82
18-08-2026,Hostel,Hostel,8,1954,244.25,3209.18,191042.42,25.47,67.96,637.72,75.19,9.88
19-08-2026,Hostel,Hostel,8,1876,234.5,3343.9,199886.34,26.81,66.75,602.51,72.82,8.4
20-08-2026,Hostel,Hostel,8,1799,224.88,3026.33,185571.92,25.52,65.65,606.12,73.43,10.75
21-08-2026,Hostel,Hostel,8,1917,239.62,3268.48,201731.61,25.6,67.56,599.51,74.73,9.4
22-08-2026,Hostel,Hostel,8,1798,224.75,3299.8,167803.89,26.43,63.75,585.55,73.46,8.88
23-08-2026,Hostel,Hostel,8,1805,225.62,3090.92,174535.79,25.84,65.17,579.8,75.79,10.28
24-08-2026,Hostel,Hostel,8,2032,254.0,3412.41,193326.56,26.57,68.87,614.39,74.59,8.33
25-08-2026,Hostel,Hostel,8,1959,244.88,3629.0,182158.88,25.57,60.12,620.41,75.08,7.48
26-08-2026,Hostel,Hostel,8,2018,252.25,3674.55,219661.49,25.92,65.04,602.14,72.66,7.26
27-08-2026,Hostel,Hostel,8,1959,244.88,3578.91,208684.32,26.42,62.83,590.52,73.03,7.36
28-08-2026,Hostel,Hostel,8,1999,249.88,3258.69,227650.21,25.97,63.59,576.62,76.05,8.81
29-08-2026,Hostel,Hostel,8,1978,247.25,3255.5,219198.61,26.78,70.35,548.41,74.06,8.74
30-08-2026,Hostel,Hostel,8,1762,220.25,2981.18,177773.84,26.36,62.05,556.36,76.24,10.27
