Timestamp,Building_ID,Building_Type,Floor_Count,Occupancy,Occupancy_Per_Floor,Energy_Consumption_kWh,Water_Consumption_L,Temperature_C,Humidity_Percent,CO2_Level_ppm,Sustainability_Score,BSEI
01-08-2026,Main,Main,8,666,83.25,1744.85,10493.68,25.33,60.51,548.95,77.36,23.53
02-08-2026,Main,Main,8,518,64.75,1385.49,7605.2,25.19,60.07,515.57,76.01,28.47
03-08-2026,Main,Main,8,1016,127.0,2542.62,16711.98,25.52,57.32,577.9,78.17,14.71
04-08-2026,Main,Main,8,1027,128.38,2522.3,16590.45,25.25,63.77,585.99,78.19,16.25
05-08-2026,Main,Main,8,913,114.12,2357.18,14088.6,24.74,57.27,590.26,78.46,16.85
06-08-2026,Main,Main,8,1210,151.25,2800.99,19927.73,24.11,57.13,637.17,79.87,13.69
07-08-2026,Main,Main,8,1144,143.0,2984.0,16715.69,24.88,60.16,568.81,78.32,12.56
08-08-2026,Main,Main,8,540,67.5,1392.19,7208.34,24.86,57.88,513.53,80.97,28.02
09-08-2026,Main,Main,8,517,64.62,1221.88,8067.58,24.81,63.41,500.64,80.59,32.8
10-08-2026,Main,Main,8,1083,135.38,3103.41,14902.04,24.76,62.24,608.64,73.64,12.2
11-08-2026,Main,Main,8,795,99.38,2021.01,12320.67,23.48,60.47,567.28,79.33,22.37
12-08-2026,Main,Main,8,1035,129.38,2634.67,18418.07,26.21,55.93,596.92,75.01,13.28
13-08-2026,Main,Main,8,847,105.88,2177.38,13001.18,23.57,58.7,597.27,78.83,19.99
14-08-2026,Main,Main,8,1273,159.12,3229.76,19811.42,24.85,59.33,595.31,78.84,10.93
15-08-2026,Main,Main,8,534,66.75,1496.57,8030.85,25.39,59.26,492.82,78.06,26.32
16-08-2026,Main,Main,8,664,83.0,1590.27,9110.53,25.45,57.7,531.0,81.97,24.47
17-08-2026,Main,Main,8,1128,141.0,3044.33,16457.49,24.41,61.44,628.7,76.9,12.68
18-08-2026,Main,Main,8,1185,148.12,3010.82,21358.62,25.33,55.2,542.74,76.33,11.25
19-08-2026,Main,Main,8,1031,128.88,2270.3,16674.2,24.7,63.38,561.15,80.23,19.03
20-08-2026,Main,Main,8,985,123.12,2530.56,14987.02,25.17,58.26,616.55,77.5,15.29
21-08-2026,Main,Main,8,1214,151.75,2941.94,18739.95,24.91,57.33,570.45,81.88,12.31
22-08-2026,Main,Main,8,765,95.62,1965.81,12976.3,26.43,61.01,563.02,75.25,19.84
23-08-2026,Main,Main,8,569,71.12,1428.61,8903.86,25.16,63.87,512.86,78.6,29.0
24-08-2026,Main,Main,8,848,106.0,1991.69,15082.76,24.67,60.37,594.55,78.62,21.31
25-08-2026,Main,Main,8,1116,139.5,2861.87,16833.18,26.18,60.85,548.6,77.95,12.59
26-08-2026,Main,Main,8,934,116.75,2225.92,16194.23,23.98,56.98,588.58,79.95,18.56
27-08-2026,Main,Main,8,1123,140.38,2813.6,21366.26,22.99,59.13,611.77,76.87,14.76
28-08-2026,Main,Main,8,871,108.88,2286.76,15494.78,25.4,55.3,579.4,77.69,16.42
29-08-2026,Main,Main,8,624,78.0,1596.63,10353.33,24.62,65.88,550.53,77.35,27.82
30-08-2026,Main,Main,8,641,80.12,1681.74,9862.59,24.96,62.85,574.69,77.34,25.46
31-08-2026,Main,Main,8,1087,135.88,2709.42,17168.37,24.65,57.28,591.39,79.39,14.06
01-09-2026,Main,Main,8,988,123.5,2265.49,15508.18,24.65,57.25,562.56,82.06,17.72
02-09-2026,Main,Main,8,1128,141.0,3003.36,17955.92,25.59,59.08,556.32,78.65,11.81
03-09-2026,Main,Main,8,980,122.5,2275.9,15759.47,24.29,60.97,588.37,78.63,18.89
04-09-2026,Main,Main,8,1129,141.12,2958.31,15504.78,23.93,60.76,622.01,78.3,13.48
05-09-2026,Main,Main,8,568,71.0,1357.55,9100.08,23.78,54.12,524.53,83.43,28.11
06-09-2026,Main,Main,8,747,93.38,1931.57,11080.8,24.43,60.17,526.36,80.55,22.28
07-09-2026,Main,Main,8,1195,149.38,2751.24,18076.27,25.02,56.77,588.7,80.42,13.41
08-09-2026,Main,Main,8,969,121.12,2339.11,16628.44,25.53,53.55,606.89,81.01,15.43
09-09-2026,Main,Main,8,969,121.12,2412.28,14214.47,24.54,63.17,614.92,78.75,17.84
10-09-2026,Main,Main,8,1068,133.5,2483.93,18928.51,24.29,54.73,605.4,79.11,15.39
11-09-2026,Main,Main,8,1275,159.38,3362.71,21910.35,24.07,62.46,591.78,76.85,11.03
12-09-2026,Main,Main,8,494,61.75,1242.03,8106.25,24.3,60.96,518.83,80.89,32.46
13-09-2026,Main,Main,8,768,96.0,1783.38,12195.07,24.21,60.68,589.42,80.9,24.46
14-09-2026,Main,Main,8,951,118.88,2418.85,13859.09,25.66,61.46,561.06,77.09,16.43
15-09-2026,Main,Main,8,1073,134.12,2785.78,17011.6,26.14,60.67,588.82,76.53,13.09
16-09-2026,Main,Main,8,986,123.25,2499.37,11967.48,24.64,61.84,560.3,80.46,16.75
17-09-2026,Main,Main,8,1129,141.12,2662.15,17556.13,23.48,57.97,576.66,81.44,15.37
18-09-2026,Main,Main,8,1315,164.38,3086.25,20068.66,25.74,57.87,580.01,79.05,11.03
19-09-2026,Main,Main,8,669,83.62,1430.02,10500.96,25.2,59.56,596.9,80.64,27.56
20-09-2026,Main,Main,8,586,73.25,1410.9,10958.56,26.71,51.8,522.13,78.3,23.11
21-09-2026,Main,Main,8,1344,168.0,3234.97,21834.42,23.51,55.04,612.78,80.08,10.81
22-09-2026,Main,Main,8,1179,147.38,2824.91,19136.91,24.07,55.69,570.81,82.12,13.24
23-09-2026,Main,Main,8,838,104.75,2069.49,12623.66,25.01,56.64,595.37,79.05,19.15
24-09-2026,Main,Main,8,850,106.25,2082.99,14087.64,23.67,57.63,609.63,80.04,20.52
25-09-2026,Main,Main,8,1189,148.62,3139.91,17445.89,24.05,56.61,591.82,79.94,11.45
26-09-2026,Main,Main,8,590,73.75,1325.52,9378.29,26.15,54.61,485.86,82.3,25.93
27-09-2026,Main,Main,8,551,68.88,1396.66,8202.97,24.67,57.62,564.23,79.97,28.09
28-09-2026,Main,Main,8,1276,159.5,2954.53,19760.52,25.7,52.65,589.26,81.87,10.95
29-09-2026,Main,Main,8,910,113.75,2419.51,14302.29,25.5,57.79,611.13,76.3,15.83
30-09-2026,Main,Main,8,897,112.12,2213.28,13146.7,22.61,59.81,568.21,79.48,20.86
