Timestamp,Building_ID,Building_Type,Floor_Count,Occupancy,Occupancy_Per_Floor,Energy_Consumption_kWh,Water_Consumption_L,Temperature_C,Humidity_Percent,CO2_Level_ppm,Sustainability_Score,BSEI
01-08-2026,Placement,Placement,8,323,40.38,664.35,4418.33,23.15,57.83,477.82,82.11,44.29
02-08-2026,Placement,Placement,8,243,30.38,475.99,3206.88,23.33,57.47,423.84,86.14,48.2
03-08-2026,Placement,Placement,8,454,56.75,855.6,7149.46,25.03,57.9,486.62,85.73,36.7
04-08-2026,Placement,Placement,8,826,103.25,1517.66,11381.31,24.6,58.78,535.12,87.65,26.84
05-08-2026,Placement,Placement,8,589,73.62,1074.08,7924.33,24.81,58.28,522.88,85.62,33.29
06-08-2026,Placement,Placement,8,557,69.62,1070.94,7050.47,25.22,57.56,459.77,88.38,32.37
07-08-2026,Placement,Placement,8,716,89.5,1482.76,9228.7,24.42,60.7,523.63,84.77,28.36
08-08-2026,Placement,Placement,8,294,36.75,554.74,3722.13,24.7,58.24,439.85,88.35,43.93
09-08-2026,Placement,Placement,8,343,42.88,714.87,4502.42,25.93,51.92,472.25,85.14,34.59
10-08-2026,Placement,Placement,8,768,96.0,1551.83,9759.55,25.68,59.53,492.52,85.42,25.24
11-08-2026,Placement,Placement,8,660,82.5,1303.21,8605.35,24.44,55.41,508.83,87.5,28.76
12-08-2026,Placement,Placement,8,813,101.62,1634.68,10806.24,24.36,59.4,517.9,85.4,25.8
13-08-2026,Placement,Placement,8,580,72.5,1267.39,7463.29,25.09,54.56,477.77,83.15,28.1
14-08-2026,Placement,Placement,8,726,90.75,1551.76,8714.8,24.07,58.66,513.1,85.66,27.08
15-08-2026,Placement,Placement,8,255,31.88,550.75,3288.52,25.38,59.94,452.29,84.81,43.52
16-08-2026,Placement,Placement,8,245,30.62,487.75,2962.33,24.21,56.86,444.32,87.94,45.61
17-08-2026,Placement,Placement,8,491,61.38,996.59,6147.61,24.51,53.46,494.63,87.41,32.58
18-08-2026,Placement,Placement,8,685,85.62,1369.03,8154.09,23.88,60.31,523.99,86.78,30.78
19-08-2026,Placement,Placement,8,454,56.75,922.33,6891.14,24.65,60.09,498.65,83.07,37.24
20-08-2026,Placement,Placement,8,701,87.62,1471.27,8873.74,25.47,61.25,473.68,83.03,27.17
21-08-2026,Placement,Placement,8,657,82.12,1310.97,8685.69,24.52,58.07,507.49,84.71,29.76
22-08-2026,Placement,Placement,8,268,33.5,508.33,3278.28,24.64,57.01,449.74,91.39,44.33
23-08-2026,Placement,Placement,8,249,31.12,500.24,3183.73,24.0,58.9,463.28,85.28,47.22
24-08-2026,Placement,Placement,8,455,56.88,959.3,5368.93,25.24,59.42,551.88,84.3,35.19
25-08-2026,Placement,Placement,8,541,67.62,1161.68,6782.24,25.43,60.88,491.11,84.03,31.89
26-08-2026,Placement,Placement,8,526,65.75,1097.28,6826.97,25.01,58.43,476.4,85.65,32.67
27-08-2026,Placement,Placement,8,476,59.5,982.62,6882.14,25.43,56.36,502.67,83.43,32.97
28-08-2026,Placement,Placement,8,477,59.62,913.33,5667.65,25.85,60.41,488.71,83.22,35.31
29-08-2026,Placement,Placement,8,248,31.0,521.46,3169.17,25.34,60.03,446.21,84.91,44.33
30-08-2026,Placement,Placement,8,329,41.12,666.72,4175.44,24.65,54.85,481.02,88.32,39.41
31-08-2026,Placement,Placement,8,421,52.62,871.2,4941.33,24.37,58.62,442.85,86.51,38.06
01-09-2026,Placement,Placement,8,537,67.12,1067.63,6314.05,25.01,46.23,546.05,87.5,26.91
02-09-2026,Placement,Placement,8,672,84.0,1348.09,8080.95,23.06,56.37,494.82,86.81,30.32
03-09-2026,Placement,Placement,8,578,72.25,1154.02,7809.5,24.18,55.17,504.89,87.64,31.33
04-09-2026,Placement,Placement,8,538,67.25,981.11,6144.17,24.53,56.49,534.78,87.68,34.52
05-09-2026,Placement,Placement,8,297,37.12,580.86,4105.22,24.38,58.83,465.5,86.61,44.38
06-09-2026,Placement,Placement,8,324,40.5,643.16,3514.43,25.41,54.41,497.81,85.03,38.3
07-09-2026,Placement,Placement,8,532,66.5,1011.7,6694.64,24.89,55.57,522.77,86.55,32.92
08-09-2026,Placement,Placement,8,665,83.12,1270.16,8115.42,24.33,57.16,528.25,86.86,30.26
09-09-2026,Placement,Placement,8,555,69.38,1036.82,6483.6,25.18,59.96,469.4,87.37,34.11
10-09-2026,Placement,Placement,8,479,59.88,954.97,5813.6,24.31,56.8,503.7,86.87,35.53
11-09-2026,Placement,Placement,8,494,61.75,974.55,6249.17,23.71,56.87,502.33,86.33,36.16
